Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
67,Iona,MAAC,14.07,-5.70,8.36,112.63,100.95,11.68
68,Saint Joseph's,A-10,6.15,2.10,8.25,108.38,96.20,12.17
69,St. Bonaventure,A-10,3.67,4.57,8.25,108.30,95.85,12.45
70,Colorado,Pac-12,2.06,5.85,7.91,103.89,92.44,11.46
71,Villanova,Big East,7.96,-0.07,7.89,107.13,95.64,11.49
72,Harvard,Ivy,-1.58,9.42,7.84,105.99,92.84,13.15
73,Southern Mississippi,CUSA,5.67,2.12,7.79,109.29,97.37,11.92
74,Massachusetts,A-10,10.76,-3.28,7.49,103.75,93.41,10.34
75,Drexel,CAA,-1.71,9.08,7.37,106.19,93.39,12.79
76,South Dakota State,Summit,7.00,0.34,7.34,110.63,99.43,11.20
77,Clemson,ACC,0.20,7.11,7.31,103.88,92.78,11.10
78,Oklahoma,Big 12,4.31,2.97,7.28,105.03,95.00,10.03
79,Davidson,Southern (South),8.39,-1.13,7.26,108.51,97.86,10.65
80,Ohio,MAC (East),2.70,4.46,7.17,103.32,92.92,10.40
81,Iowa,Big Ten,9.11,-2.06,7.04,110.53,100.18,10.35
82,Oklahoma State,Big 12,4.19,2.82,7.02,105.68,95.00,10.67
83,Marshall,CUSA,5.02,1.98,7.00,106.74,96.44,10.31
84,Northern Iowa,MVC,-1.17,8.15,6.99,104.93,94.14,10.78
85,Wyoming,MWC,-5.64,12.42,6.79,101.06,90.54,10.53
86,Louisiana State,SEC,0.81,5.86,6.66,100.29,90.55,9.74
87,Colorado State,MWC,5.34,1.25,6.58,110.69,101.16,9.53
88,Mississippi,SEC,2.62,3.91,6.53,101.61,91.92,9.70
89,Akron,MAC (East),4.74,1.59,6.33,104.41,95.37,9.04
90,Illinois State,MVC,3.27,3.06,6.33,107.09,97.29,9.80
91,Washington State,Pac-12,2.79,3.39,6.17,108.26,99.27,8.99
92,Missouri State,MVC,0.14,6.00,6.15,103.68,94.08,9.60
93,Denver,Sun Belt (West),0.08,6.06,6.14,109.29,98.79,10.50
94,Georgia,SEC,-1.42,7.33,5.92,103.08,94.82,8.26
95,Tulsa,CUSA,2.30,3.52,5.82,103.89,94.74,9.15
96,Arkansas,SEC,7.24,-1.49,5.76,105.06,97.61,7.46
97,Georgia State,CAA,-1.23,6.91,5.69,98.75,90.20,8.56
98,Texas A&M,Big 12,-3.58,9.15,5.57,99.94,91.98,7.96
99,Rutgers,Big East,1.01,4.41,5.42,100.62,92.49,8.13
100,Cleveland State,Horizon,-0.51,5.78,5.27,102.00,93.85,8.15
101,Oral Roberts,Summit,3.85,1.38,5.24,108.87,100.84,8.03
102,Richmond,A-10,2.26,2.46,4.71,107.46,100.22,7.25
103,Montana,Big Sky,-0.72,5.26,4.55,100.65,94.10,6.55
104,Nevada,WAC,1.24,3.31,4.54,103.06,96.22,6.83
105,Central Florida,CUSA,-0.53,4.86,4.33,103.75,96.45,7.30
106,Lehigh,Patriot,5.63,-1.37,4.27,103.96,97.67,6.29
107,Providence,Big East,4.94,-0.78,4.16,106.85,100.97,5.88
108,Buffalo,MAC (East),4.50,-0.34,4.15,103.27,97.38,5.89
109,Duquesne,A-10,5.67,-1.58,4.09,104.72,100.18,4.54
110,Old Dominion,CAA,-0.61,4.69,4.08,98.68,92.24,6.45
111,California-Santa Barbara,Big West,4.29,-0.29,4.00,107.80,101.66,6.14
112,Maryland,ACC,4.47,-0.52,3.95,105.31,99.42,5.89
113,George Mason,CAA,3.14,0.67,3.81,100.76,95.16,5.60
114,Mercer,A-Sun,-0.55,4.30,3.75,101.47,95.43,6.04
115,Penn State,Big Ten,-1.70,5.42,3.72,101.03,95.24,5.79
116,Wagner,NEC,2.58,1.02,3.60,101.23,96.17,5.06
117,Bucknell,Patriot,-0.11,3.68,3.57,104.35,98.51,5.84
118,Boise State,MWC,2.11,1.42,3.52,104.51,100.24,4.28
119,Nebraska,Big Ten,-2.57,6.08,3.52,101.63,97.27,4.36
120,Utah State,WAC,-0.22,3.71,3.49,105.99,100.92,5.06
121,Evansville,MVC,7.88,-4.42,3.46,108.31,102.48,5.83
122,Texas-Arlington,Southland (West),6.38,-3.03,3.35,101.89,97.62,4.27
123,North Carolina-Asheville,Big South,7.96,-4.90,3.06,107.91,103.44,4.48
124,Fairfield,MAAC,-3.36,6.29,2.94,97.91,93.34,4.57
125,Texas-El Paso,CUSA,-2.37,5.28,2.92,101.31,97.09,4.22
126,Butler,Horizon,-3.06,5.92,2.86,96.75,92.25,4.50
127,Kent State,MAC (East),3.03,-0.26,2.77,102.18,98.23,3.96
128,South Carolina,SEC,-2.32,4.97,2.65,102.82,99.03,3.80
129,St. John's (NY),Big East,2.64,-0.01,2.63,102.45,98.59,3.86
130,Alabama-Birmingham,CUSA,-5.33,7.93,2.61,98.29,94.64,3.66
131,Princeton,Ivy,-0.25,2.83,2.57,103.56,99.00,4.56
132,Auburn,SEC,-2.46,4.99,2.52,96.88,93.49,3.38
133,Drake,MVC,0.41,2.03,2.44,99.47,96.04,3.43
134,East Carolina,CUSA,0.82,1.61,2.42,102.37,98.34,4.02
135,Lamar,Southland (East),3.04,-0.63,2.41,103.44,99.46,3.98
